<Muzaffarabad, isCapitalOf, Azad Kashmir>
<Iaşi, isCapitalOf, Moldavia>
<Lille, isCapitalOf, France>
<Vex, isCapitalOf, Valais>
<Jerusalem, isCapitalOf, Israel>
<Bar, isCapitalOf, Schaffhausen>
<Vosges, isCapitalOf, North>
<Bättwil, isCapitalOf, Switzerland>
<Zeiningen, isCapitalOf, Aargau>
<Zwolle, isCapitalOf, Netherlands>
<Saint, isCapitalOf, U.S. state>
<Beinwil am See, isCapitalOf, Aargau>
<Bomb, isCapitalOf, Company>
<Bellinzona, isCapitalOf, Ticino>
<Arbon, isCapitalOf, Thurgau>
<Yamoussoukro, isCapitalOf, Ivory>
<Jacobabad, isCapitalOf, Jacobabad District>
<Reims, isCapitalOf, France>
<Eschlikon, isCapitalOf, Thurgau>
<Härkingen, isCapitalOf, Switzerland>
<Athens, isCapitalOf, Greece>
<Aix-en-Provence, isCapitalOf, France>
<Sokoto, isCapitalOf, Nigeria>
<Chimbote, isCapitalOf, Region>
<Achaea, isCapitalOf, Greece>
<Saarlouis, isCapitalOf, Saarland>
<Kaiser, isCapitalOf, Aargau>
<Malabo, isCapitalOf, Equatorial Guinea>
<War, isCapitalOf, Okinawa>
<Islam, isCapitalOf, Iraq>
<Tabriz, isCapitalOf, Iran>
<Astana, isCapitalOf, Kazakhstan>
<Beirut, isCapitalOf, Lebanon>
<Hyderabad, isCapitalOf, Andhra Pradesh>
<Wrestling, isCapitalOf, Roddy Piper>
<Lens, isCapitalOf, Pas-de-Calais>
<City, isCapitalOf, U.S. state>
<Mississippi, isCapitalOf, Mississippi>
<Bangkok, isCapitalOf, Asian>
<Lilongwe, isCapitalOf, Africa>
<Schupfart, isCapitalOf, Aargau>
<Epiquerez, isCapitalOf, Switzerland>
<Pistoia, isCapitalOf, Tuscany>
<River, isCapitalOf, Car>
<Fischbach-Göslikon, isCapitalOf, Aargau>
<Chironico, isCapitalOf, Ticino>
<Itanagar, isCapitalOf, Indian>
<Sacrament, isCapitalOf, U.S. state>
<Hamm, isCapitalOf, German>
<Soma, isCapitalOf, India>
<Civitavecchia, isCapitalOf, Lazio>
<Sierre, isCapitalOf, Valais>
<Arles, isCapitalOf, France>
<Province, isCapitalOf, Dera Ismail Khan District>
<Tilburg, isCapitalOf, Netherlands>
<Witten, isCapitalOf, German>
<Wieluń, isCapitalOf, Poland>
<Dottikon, isCapitalOf, Aargau>
<Delft, isCapitalOf, South Holland>
<Vientiane, isCapitalOf, Laos>
<Toulon, isCapitalOf, France>
<American, isCapitalOf, North>
<Lugano, isCapitalOf, Ticino>
<Aetigkofen, isCapitalOf, Switzerland>
<British, isCapitalOf, Division>
<Visp, isCapitalOf, Valais>
<Saint, isCapitalOf, Valais>
<Grindelwald, isCapitalOf, Switzerland>
<Chinese, isCapitalOf, Republic of China>
<Simplon, isCapitalOf, Valais>
<Halle, isCapitalOf, German>
<Mülheim, isCapitalOf, German>
<San Marino, isCapitalOf, San Marino>
<Leeds, isCapitalOf, West Yorkshire>
<Bell, isCapitalOf, Ontario>
<Leicester, isCapitalOf, Midlands>
<Sukhumi, isCapitalOf, Abkhazia>
